quarter,n,win_rate,net_expectancy_r,total_net_r
2024Q2,51,0.3333333333333333,-0.043097070063289784,-2.197950573227779
2024Q3,70,0.3142857142857143,-0.13015631269054215,-9.110941888337951
2024Q4,57,0.49122807017543857,0.3219904299410625,18.35345450664056
2025Q1,70,0.38571428571428573,0.03370559549419398,2.3593916845935787
2025Q2,69,0.37681159420289856,0.02988751012515006,2.062238198635354
2025Q3,73,0.3424657534246575,-0.015529926252584399,-1.1336846164386611
2025Q4,57,0.3333333333333333,-0.022911565593553482,-1.3059592388325485
2026Q1,56,0.44642857142857145,0.1562225437738865,8.748462451337645
2026Q2,60,0.4166666666666667,0.059544554876529,3.57267329259174
2026Q3,51,0.45098039215686275,0.22873131246246645,11.665296935585788
